sigma trials mean_price sterr_price black_scholes_price tree_price
0.05 10 0.2021886763143647 0.046565424005986414 0.17659911948791862 0.17254401442086892
0.05 100 0.19163418720530934 0.014542512151133832 0.17659911948791862 0.17254401442086892
0.05 1000 0.16807281998105997 0.003901160298490543 0.17659911948791862 0.17254401442086892
0.05 10000 0.17709677049116426 0.0016506891757773535 0.17659911948791862 0.17254401442086892
0.05 100000 0.17575005266738755 0.0004282936551959179 0.17659911948791862 0.17254401442086892
0.05 1000000 0.17655329307360967 0.00016966006891070426 0.17659911948791862 0.17254401442086892
0.05 10000000 0.1765108020542116 4.221873645521455e-05 0.17659911948791862 0.17254401442086892
0.1 10 1.3102951342307847 0.16950544095458647 1.377467049434614 1.3825498406853445
0.1 100 1.4140948204091814 0.06465176655855784 1.377467049434614 1.3825498406853445
0.1 1000 1.3964821497447542 0.019519240060106517 1.377467049434614 1.3825498406853445
0.1 10000 1.3707906667832013 0.007354473879009005 1.377467049434614 1.3825498406853445
0.1 100000 1.3767996097879291 0.0015300591268142389 1.377467049434614 1.3825498406853445
0.1 1000000 1.3772614740642715 0.0006684570006652326 1.377467049434614 1.3825498406853445
0.1 10000000 1.3773919712650657 0.00018029417982068317 1.377467049434614 1.3825498406853445
0.2 10 4.358427948429171 0.5525778571366866 4.778969051891707 4.78624232178775
0.2 100 5.167810177343386 0.12040818826238649 4.778969051891707 4.78624232178775
0.2 1000 4.725738870421408 0.04499781187545253 4.778969051891707 4.78624232178775
0.2 10000 4.759170809502156 0.011164613382305965 4.778969051891707 4.78624232178775
0.2 100000 4.776290045461957 0.005178410726956865 4.778969051891707 4.78624232178775
0.2 1000000 4.777948332496833 0.0015208103079611397 4.778969051891707 4.78624232178775
0.2 10000000 4.778529736385142 0.00043072941440698424 4.778969051891707 4.78624232178775
0.3 10 7.956401777493362 0.6543178485872729 8.447692044762213 8.449377601486871
0.3 100 8.322978518364764 0.2546079198187856 8.447692044762213 8.449377601486871
0.3 1000 8.486687285078412 0.07841692831812787 8.447692044762213 8.449377601486871
0.3 10000 8.432449784875644 0.027707512931329243 8.447692044762213 8.449377601486871
0.3 100000 8.446973652858391 0.007271225078089418 8.447692044762213 8.449377601486871
0.3 1000000 8.448781186697698 0.0026634550559686125 8.447692044762213 8.449377601486871
0.3 10000000 8.447785392241666 0.0007761439974466616 8.447692044762213 8.449377601486871
0.4 10 11.87076173486053 0.7247139187444633 12.164105828193009 12.158067375971605
0.4 100 12.442126478088175 0.3468202373198363 12.164105828193009 12.158067375971605
0.4 1000 12.03990661435521 0.07518445449746186 12.164105828193009 12.158067375971605
0.4 10000 12.147515618794092 0.02986124039972462 12.164105828193009 12.158067375971605
0.4 100000 12.179802888681834 0.011116602042921444 12.164105828193009 12.158067375971605
0.4 1000000 12.160892646818912 0.003166084668863775 12.164105828193009 12.158067375971605
0.4 10000000 12.163217236709364 0.0008817316299264846 12.164105828193009 12.158067375971605
