n_trials delta_mean delta_sterr
10 0.018456786248380173 0.0008846111156954502
100 0.01842508238897912 0.00028097350466356203
1000 0.01816054557052582 8.026747094035295e-05
10000 0.018181076617412736 2.7298592753183697e-05
100000 0.018192531462324253 7.983080864962223e-06
1000000 0.01820605988874668 3.1458396807555127e-06
