sigma trials mean_price sterr_price black_scholes_price tree_price
79 10 0.5648660084597591 0.15700912129307867 0.5288316420157129 0.5259851908686036
79 100 0.5444839935484221 0.04006780556374775 0.5288316420157129 0.5259851908686036
79 1000 0.5262357486525812 0.017775060888580007 0.5288316420157129 0.5259851908686036
79 10000 0.5273157205777941 0.003855985137579224 0.5288316420157129 0.5259851908686036
79 100000 0.531158614158876 0.0014456278108860015 0.5288316420157129 0.5259851908686036
79 1000000 0.5291407939994661 0.0004531822145954011 0.5288316420157129 0.5259851908686036
79 10000000 0.5289991446397607 0.00015295706811031232 0.5288316420157129 0.5259851908686036
99 10 5.180564440033049 0.4756887097367496 4.778969051891707 4.78624232178775
99 100 4.57284265130208 0.15618418181064972 4.778969051891707 4.78624232178775
99 1000 4.7887906983104065 0.039317536438510936 4.778969051891707 4.78624232178775
99 10000 4.77107512526489 0.010484097414440886 4.778969051891707 4.78624232178775
99 100000 4.782244145595701 0.00557089283837575 4.778969051891707 4.78624232178775
99 1000000 4.780211953095138 0.001503362483828798 4.778969051891707 4.78624232178775
99 10000000 4.77794800689144 0.0003953511129419679 4.778969051891707 4.78624232178775
119 10 15.576562100017064 0.9978056157415895 15.810099451327659 15.81507350227838
119 100 16.038479656051315 0.31961097304337843 15.810099451327659 15.81507350227838
119 1000 15.971459460992726 0.06731266271732729 15.810099451327659 15.81507350227838
119 10000 15.82513859746662 0.031197700610708652 15.810099451327659 15.81507350227838
119 100000 15.802694710857306 0.008413621983519637 15.810099451327659 15.81507350227838
119 1000000 15.807845174186307 0.0026608014662425927 15.810099451327659 15.81507350227838
119 10000000 15.810305831549163 0.0006887112801498507 15.810099451327659 15.81507350227838
139 10 32.57612802023029 0.8270190186523114 31.844902103015244 31.83600024772442
139 100 31.391379661721704 0.34815654971500465 31.844902103015244 31.83600024772442
139 1000 31.79911385957498 0.11253498471252898 31.844902103015244 31.83600024772442
139 10000 31.767478841105458 0.03386574088217789 31.844902103015244 31.83600024772442
139 100000 31.854497407531454 0.011173459692877783 31.844902103015244 31.83600024772442
139 1000000 31.840004934050427 0.00397755361191353 31.844902103015244 31.83600024772442
139 10000000 31.844414327615258 0.0009951567665350564 31.844902103015244 31.83600024772442
